Column name,Feature importance
depgnr,0.34778833
actype,0.14575265
trwy,0.10287363
trwy_ext,0.07013226
sid,0.05057046
n_dep,0.04269403000000001
wtc,0.040020872
ptr2,0.027087941999999997
local_week,0.02395764
plr1,0.018591564
n_arr,0.016149044
local_mod,0.016134612
local_dow,0.015542293
wind_dir,0.012258921
ptr1,0.011736588999999999
plr2,0.011677638
n_civil,0.0062029897
rvr5000_1000,0.006176569
local_doy,0.004880904
alr1,0.003959387
wind_stoten,0.0031006973999999996
rvr5000_2000,0.0030112318
dew,0.0026963141
cb,0.0023790707
atr1,0.0023758907
wind_spd_std,0.002324576
wind_spd,0.0020573204
temp,0.001999838
wind_dir_std,0.0019247578
alr2,0.0013328672
atr2,0.0010650685
rvrcat,0.0009078185
lightning,0.0003790752999999999
rvr1500_300,0.00020585602
rvr550_200,0.000042031585
rvr350,0.000009237836
snow_heavy,0
snow,0
rain_cool,0
